'motion', 'color', 'geometry', 'group', 'item'
3,0.0,0.0,0.0,0
3,0.0,0.0,0.0,1
3,0.0,0.0,0.0,2
3,0.0,0.0,0.0,3
3,0.0,0.0,0.0,4
3,0.0,0.0,0.0,5
3,0.0,0.0,0.0,6
3,0.0,0.0,0.0,7
3,0.0,0.0,0.0,8
3,0.0,0.0,0.0,9
3,0.0,0.0,0.0,10
3,0.0,0.0,0.0,11
3,0.0,0.0,0.0,12
3,0.0,0.0,0.0,13
3,0.0,0.0,0.0,14
3,0.0,0.0,0.0,15
3,0.0,0.0,0.0,16
3,0.0,0.0,0.0,17
3,0.0,0.0,0.0,18
3,0.0,0.0,0.0,19
3,0.0,0.0,0.0,20
3,0.0,0.0,0.0,21
3,0.0,0.0,0.0,22
3,0.0,0.0,0.0,23
3,0.0,0.0,0.0,24
3,0.0,0.0,0.0,25
3,0.0,0.0,0.0,26
3,0.0,0.0,0.0,27
2,0.8099086900552113,0.5392233828703561,0.9114154795805613,17
2,0.6926588614781695,0.6112278620402019,0.9356430570284524,4
2,0.810613131523132,0.6495607693990069,0.8351483941078186,5
1,0.7367774764696757,0.4811887462933857,0.7770436127980549,16
0,0.7933591345945992,0.5325940628846486,0.6707413017749784,12
2,0.7451671461264291,0.5731026232242584,0.7329910606145855,13
2,0.8187514146169024,0.7359734932581583,0.9658292412757872,17
2,0.8103912472724915,0.8397529443105061,0.8407617449760436,17
2,0.8261192520459493,0.7991108377774556,0.8530068874359129,4
2,0.8482292811075847,0.6568735003471371,0.7362800578276314,5
2,0.6751040240128834,0.6882143904765443,0.6760982816418011,16
2,0.830124255021413,0.7724264661471048,0.7039173394441605,17
2,0.8351907730102539,0.6058560013771057,0.8974837183952329,4
2,0.8260156432787578,0.7211218476295471,0.8096095442771909,5
2,0.6358321567376453,0.5523771921793617,0.6156489501396814,16
2,0.49890948335329677,0.57291025519371,0.6291203200817108,12
